LA Region Name,LAD10CD,Year,A. Industry and Commercial Electricity,B. Industry and Commercial Gas,C. Large Industrial Installations,D. Industrial and Commercial Other Fuels,E. Agricultural Combustion,Industry and Commercial Total,F. Domestic Electricity,G. Domestic Gas,H. Domestic 'Other Fuels',Domestic Total,I. Road Transport (A roads),J. Road Transport (Motorways),K. Road Transport (Minor roads),L. Diesel Railways,M. Transport Other,Transport Total,N. LULUCF Net Emissions,Grand Total,"Population                                              ('000s, mid-year estimate)",Per Capita Emissions (t)
Kensington and Chelsea,00AW,2005,579.1,200.2,0.1,3.7,0,783.2,203.9,210.6,4.7,419.2,117.7,0,56.5,1.1,1.1,176.3,0.4,1379.1,168.4,8.2
Kingston upon Thames,00AX,2005,181.2,57.7,0,12,0.3,251.2,154.7,213.8,4.5,373,149.3,0,90,0.5,2.4,242.2,0.6,867.1,152.5,5.7
Lambeth,00AY,2005,351.5,162.7,0.3,7.4,0,521.9,246.5,354.7,8.4,609.6,162.5,0,107,0.5,2.2,272.1,0.8,1404.4,277.6,5.1
Lewisham,00AZ,2005,225.8,78.7,0,9.3,0.1,313.9,235.2,338.4,8.4,581.9,123.9,0,135.2,0.6,1.3,261,1.3,1158.1,254.9,4.5
Merton,00BA,2005,191.3,83.4,0,20,0.3,295,177.9,255.9,6.5,440.3,94.8,0,75.8,0.5,1.2,172.3,1.2,908.8,190.6,4.8
Newham,00BB,2005,368.8,253.2,2.6,17.7,0.1,642.4,195.5,274,7.8,477.3,215,0,74.4,0.7,14.4,304.5,0.6,1424.7,253.8,5.6
Redbridge,00BC,2005,164.5,65.6,2.9,12.7,0.3,246,227.2,342.4,8,577.7,199.5,21.8,57.8,0.2,1.6,280.9,0.9,1105.4,251.6,4.4
Richmond upon Thames,00BD,2005,221.3,95.4,0,15.3,0.3,332.3,192.3,285,6.2,483.5,133.3,0,88.7,0,5.9,228,0.7,1044.4,181.5,5.8
Southwark,00BE,2005,715.7,210.5,0.2,11.8,0.1,938.3,243.8,263.6,7.9,515.3,150.1,0,109.2,0.4,1.5,261.2,1,1715.8,261.8,6.6
Sutton,00BF,2005,163.9,69.5,0.1,18.5,0.3,252.1,189.5,247.6,5.9,443,69.1,0,106.1,0,1.2,176.4,1.5,873,182.1,4.8
Tower Hamlets,00BG,2005,1161,144.7,0.3,12.9,0,1318.9,193.9,173.8,6.4,374.1,182.9,0,106.5,0.2,1.2,290.8,0.7,1984.5,213.4,9.3
Waltham Forest,00BH,2005,190.8,78.4,0,20.4,0.2,289.8,203.5,293.4,7.2,504.1,150.8,0,45.8,1,0.9,198.5,1.3,993.5,226.7,4.4
Wandsworth,00BJ,2005,347.8,175,0.1,10.8,0.1,533.8,269.2,374,8,651.2,172.1,0,107.3,0.9,1.3,281.6,1.1,1467.7,283.2,5.2
Westminster,00BK,2005,1851.4,579,0.4,23.1,0.1,2453.9,264.9,234.8,6.3,506.1,245.4,0,99.8,1.8,1.6,348.6,0.7,3309.3,223.1,14.8
Greater London Total,,2005,14383.8,5081.2,128.6,611,9.6,20214.1,7249.5,9827.7,232.7,17310,5190.5,591.1,2972.3,55.8,140.8,8950.4,38.7,46513.2,7519,6.2
Bracknell Forest,00MA,2005,228.7,64.2,0,13.4,1.3,307.6,116,138.9,9.1,264,91.7,11.1,67.6,0.3,1.2,171.9,-0.8,742.7,109.5,6.8
Brighton and Hove,00ML,2005,318.9,104.3,0,24.2,1.5,448.9,264.5,327.2,8.3,600.1,169.7,0,168.1,0.4,1.6,339.7,0.4,1389.1,252.9,5.5
Aylesbury Vale,11UB,2005,194.5,70.4,1.5,65.6,20,352.1,189.9,184,31.3,405.2,222.5,50.4,124.2,8.5,1.9,407.5,11.4,1176.2,166.7,7.1
Chiltern,11UC,2005,86.8,46.6,3.3,29.8,3,169.4,111.5,152.2,9.2,272.9,78.5,16.9,65.4,2.4,0.8,164,7.3,613.6,90.6,6.8
South Bucks,11UE,2005,126.8,69,0.8,27.4,1.8,225.7,82.1,111.1,8.9,202.1,81,381.8,53.2,8,5.1,529,4.9,961.8,63.6,15.1
Wycombe,11UF,2005,224.4,62.5,0.2,42.7,6,335.7,186.8,225.5,24.1,436.3,126.4,200.4,105.7,10.8,7.9,451.1,6.4,1229.6,164.6,7.5
Buckinghamshire Total,,2005,632.6,248.5,5.7,165.5,30.7,1083,570.3,672.7,73.5,1316.5,508.4,649.4,348.4,29.7,15.6,1551.6,30.1,3981.1,485.5,8.2
Eastbourne,21UC,2005,116.5,48.6,0.1,16,0.8,182,95.6,115.5,4.6,215.7,41.1,0,52,1,0.5,94.7,-0.7,491.8,95.5,5.1
Hastings,21UD,2005,97.1,29.5,0,19.7,0.4,146.7,90.1,107.6,2.7,200.4,32.2,0,50.3,0.3,0.4,83.3,-0.6,429.8,87.4,4.9
Lewes,21UF,2005,100.1,28.4,1.5,30.3,7.2,167.4,104.9,114.5,8.8,228.2,118.3,0,76.1,5.6,0.8,200.7,-1.1,595.1,93.8,6.3
Rother,21UG,2005,93.5,66.6,9.7,36.6,13.3,219.7,113.1,111.1,11.2,235.4,95,0,94.2,5.6,1.2,195.9,-23.7,627.3,87.7,7.2
Wealden,21UH,2005,113.3,29.1,0,51.7,20.5,214.7,178.9,165.4,31.5,375.8,225.7,0,168.1,3.4,1.9,399.1,-25.6,963.9,144.1,6.7
East Sussex Total,,2005,520.6,202.2,11.3,154.2,42.2,930.4,582.6,614.1,58.8,1255.5,512.3,0,440.7,15.9,4.8,973.7,-51.7,3107.9,508.5,6.1
Basingstoke and Deane,24UB,2005,289,144.1,0.1,65.1,12.1,510.4,175.9,171.5,53.3,400.6,261.7,175.6,148,15.7,2.3,603.3,12.1,1526.3,157.5,9.7
East Hampshire,24UC,2005,129.3,45.2,0,43.2,9.9,227.5,136.2,140.8,33.9,310.9,211.9,13.9,135.8,0.5,1.7,363.7,-11.6,890.5,110.5,8.1
Eastleigh,24UD,2005,177.3,53.4,0,28,1.4,260.2,119.5,153.1,7.5,280.1,37.8,168.1,86.6,9.9,6.1,308.4,1.1,849.8,118.1,7.2
Fareham,24UE,2005,172.2,39.4,1.3,26.6,1.3,240.8,112,140.4,5.3,257.7,66.6,118.9,52.4,0.8,1,239.7,1.2,739.4,108.1,6.8
Gosport,24UF,2005,90.8,35.2,0.2,14.2,0.3,140.7,83.3,83.9,3.3,170.5,14.7,0,51,0,0.5,66.2,0.6,378.1,78.6,4.8
Hart,24UG,2005,97.5,33.3,0,15.2,3.3,149.2,98.9,129,11.5,239.4,65.7,126.7,91.6,1.5,1.4,287,-4.3,671.2,87.5,7.7
Havant,24UH,2005,131.8,33.2,0,23.8,0.9,189.6,124.8,152.3,6,283,71.2,36.5,84.9,0.1,0.8,193.4,0.5,666.6,117.5,5.7
New Forest,24UJ,2005,251.2,120,1224.8,57,11.8,1664.7,199.4,227.3,35.8,462.4,268.9,47.4,173.7,3.3,1.9,495.2,-19.5,2602.8,172.4,15.1
Rushmoor,24UL,2005,174.6,57.4,0,23.4,0.2,255.6,82.2,111.5,2.8,196.6,64.1,29.2,56.1,1.4,1,151.7,-3.3,600.7,90,6.7
Test Valley,24UN,2005,167.7,47.2,2.8,72.4,15.1,305.2,135.6,106.6,61.7,303.9,217.9,126,97.9,10.4,2,454.2,-0.8,1062.6,112.8,9.4
Winchester,24UP,2005,210.9,79.2,0,43.4,15.1,348.6,129.3,127.8,42.5,299.6,161.5,221.8,161.6,1.8,1.9,548.6,0,1196.7,109.9,10.9
Hampshire Total,,2005,1892.3,687.5,1229.2,412.2,71.3,4292.6,1397,1544.2,263.6,3204.8,1441.9,1064.1,1139.6,45.2,20.6,3711.3,-23.9,11184.7,1262.9,8.9
Isle of Wight,00MW,2005,162.3,98.5,1.8,40.8,9.3,312.7,164.2,159.3,22.9,346.3,87.1,0,52.6,0,2.6,142.3,9.8,811.1,137.2,5.9
Ashford,29UB,2005,154.1,48,6.3,57.7,10.8,276.8,120.1,113,18.2,251.3,119.1,141.9,77.9,1.3,1.4,341.4,-23.1,846.4,109.4,7.7
Canterbury,29UC,2005,169.1,77.9,0.1,28.4,3.8,279.3,137.5,186.8,11.9,336.2,169,0,84.1,0.1,1.2,254.4,-7.3,862.7,141.9,6.1
Dartford,29UD,2005,181,91.6,6,27.6,0.7,306.8,89.1,115.3,3.1,207.5,184.7,118.9,41.5,0.1,1.8,346.9,2,863.3,90,9.6
Dover,29UE,2005,138.6,182.1,5.3,25.3,4.3,355.6,105.4,135.9,5,246.2,119.7,0,64.3,0.1,1,185.1,-1,785.9,107.5,7.3
Gravesham,29UG,2005,176.7,75.7,1009.7,14.5,1.3,1278,92,122.6,5.1,219.7,135.9,8.6,38.4,0.1,0.8,183.7,-2,1679.4,96.9,17.3
Maidstone,29UH,2005,223.8,59.9,0,51.5,8.1,343.3,152.7,181.8,10.6,345.1,140.1,224.9,87,0.1,3.1,455.2,-17.1,1126.6,143.4,7.9
Sevenoaks,29UK,2005,130.5,37.2,1,32.5,7.3,208.4,136.3,151.4,13.2,300.9,115.3,391.9,78.9,5.9,1.9,593.9,-3.1,1100.1,111.3,9.9
Shepway,29UL,2005,255,31.4,0,29,6.5,322,109.6,126.2,11.4,247.1,85.9,73.2,66.4,0.1,4.7,230.3,-4,795.4,101.5,7.8
Swale,29UM,2005,308.1,164.6,510.2,78.7,5.8,1067.3,128.2,157.8,7.1,293.1,112.9,150,76,2.9,1.4,343.2,-2.4,1701.2,126.5,13.4
Thanet,29UN,2005,128.3,45.7,0,31.8,1.2,206.9,133.3,181.5,4.1,318.9,70.8,0,68.9,0.3,3.8,143.8,2.9,672.5,129.3,5.2
Tonbridge and Malling,29UP,2005,158.1,61.3,767,43.2,4.3,1033.8,118.4,146.9,6.5,271.7,156.6,224.5,62.5,0.3,2.8,446.6,-8.3,1743.8,111.7,15.6
Tunbridge Wells,29UQ,2005,164.5,41.2,0,37.2,7.3,250.2,125.5,133.2,14.3,273,116,0,73.2,0.3,0.9,190.3,-21.1,692.2,105.9,6.5
Kent Total,,2005,2187.7,916.6,2305.7,457.2,61.4,5928.6,1448.1,1752.4,110.2,3310.7,1526,1333.8,818.8,11.4,24.7,3714.8,-84.7,12869.3,1375.3,9.4
Medway,00LC,2005,284.5,80.4,0.4,53,2.4,420.7,241.9,317.4,9,568.2,139.8,55.4,131.8,0.2,1.3,328.5,-1.6,1315.8,252.1,5.2
Milton Keynes,00MG,2005,580,154.9,0.1,54.6,5.1,794.7,229.1,283.4,10,522.5,161.2,213.1,237,1,2.1,614.4,1.8,1933.4,223.5,8.7
Cherwell,38UB,2005,276.7,174.4,13.2,63.7,12.6,540.5,155.2,136.1,55.2,346.5,262.6,312,92.8,31.2,4.3,702.9,12.9,1602.9,135.9,11.8
Oxford,38UC,2005,348.9,184.1,5.6,28.4,0.6,567.7,130.5,171.7,6.4,308.6,84.1,0,59.9,5.7,7.6,157.3,1.1,1034.7,145.4,7.1
South Oxfordshire,38UD,2005,297.4,51,0,36.4,16.9,401.6,172,153.2,46.2,371.4,153.2,182.9,106.1,20,28.4,490.5,-7.8,1255.8,130.1,9.7
Vale of White Horse,38UE,2005,236.1,75.5,0,48.9,12.3,372.7,138.1,139.9,31.6,309.6,353,0,77.1,18.9,19.8,468.8,12,1163.1,117.4,9.9
West Oxfordshire,38UF,2005,166.8,38.5,2.8,72.1,13.8,294,126.4,106.3,45.5,278.1,130.7,0,93.3,3.6,13.7,241.3,14.9,828.4,98.9,8.4
Oxfordshire Total,,2005,1325.9,523.4,21.6,249.5,56.1,2176.5,722.2,707.2,184.9,1614.2,983.6,494.9,429.3,79.3,73.9,2060.9,33.1,5884.7,627.7,9.4
Portsmouth,00MR,2005,375.7,109.3,1.1,39.9,0.4,526.4,186.9,219.2,6.2,412.2,117.5,62.6,110.9,2,1.2,294.3,0.5,1233.4,196.3,6.3
Reading,00MC,2005,349.5,124.1,0.1,24.4,0.4,498.5,155.3,187.5,5.9,348.8,73,13.2,51.1,10.6,5,152.9,-0.1,1000,146.9,6.8
Slough,00MD,2005,173.4,110.3,29.9,43.7,0.2,357.6,104.7,138.4,4,247.1,44.9,125.8,53.1,11.7,2,237.4,0.9,843,122.9,6.9
Southampton,00MS,2005,410.8,148.9,0.4,37.4,0.3,597.9,243,233.7,6.9,483.6,118.9,22.3,139.6,0.7,3.9,285.4,0.2,1367.1,226.7,6
Elmbridge,43UB,2005,154,77.2,0,21.7,1,253.8,152.7,217,5.1,374.8,163.5,66.1,84.2,1.1,5.2,320.1,-0.1,948.6,127.3,7.5
Epsom and Ewell,43UC,2005,61.4,25.7,0,2.5,0.4,90.1,71.6,115.4,2.1,189,35.2,0,56.7,7.8,0.5,100.2,0.5,379.8,69.2,5.5
Guildford,43UD,2005,198.5,83.6,0,32.7,3.3,318,147.9,193.9,7.8,349.7,321.1,41.1,98.3,4.2,2.6,467.4,-14.6,1120.4,129,8.7
Mole Valley,43UE,2005,138.8,78.2,8.4,15.2,4.4,244.9,98.9,132,5,235.9,110,128.4,80.6,4.2,1.5,324.7,-5.5,800.1,81.8,9.8
Reigate and Banstead,43UF,2005,189.7,60.3,0,17.2,2,269.3,140.9,206.1,4.8,351.8,109.5,198,106,2.9,1.7,418.1,0.9,1040.1,127.8,8.1
Runnymede,43UG,2005,142.8,70.1,1.1,11.2,0.5,225.8,88,108.5,5.5,201.9,63,260.5,58,7.1,4.6,393.2,0.1,821.1,77,10.7
Spelthorne,43UH,2005,145.8,32.3,0,16.7,0.4,195.2,99.5,131.4,3.3,234.2,60.5,84.4,67.4,0,7.2,219.5,0.2,649.2,90.6,7.2
Surrey Heath,43UJ,2005,110.3,49.5,0,22.2,0.7,182.7,93.9,133.8,3.5,231.2,86.6,148.5,64.9,0.4,1.2,301.5,-2.8,712.6,82.3,8.7
Tandridge,43UK,2005,76.2,34,0,19,5.6,134.7,96.4,123.8,3.1,223.4,68.2,299,95,11.5,1.5,475.2,0,833.2,79.4,10.5
Waverley,43UL,2005,114.6,57.8,0,26.1,5.2,203.6,143.4,185.2,17,345.5,134.1,0,117.4,0.3,1.4,253.2,-23.1,779.3,116.4,6.7
Woking,43UM,2005,163.9,47.2,0,10.7,0.7,222.6,103.1,129.1,2.8,234.9,48.8,32.8,58.4,2,1.6,143.7,-2.6,598.5,91.1,6.6
Surrey Total,,2005,1496.1,615.9,9.5,195.2,24.1,2340.7,1236.4,1676,60,2972.4,1200.6,1258.7,887,41.5,29,3416.7,-46.9,8682.9,1071.9,8.1
West Berkshire,00MB,2005,307.2,99.1,21.5,70.8,14.4,513,189.6,155.5,81.4,426.4,260.2,459.7,108.9,23.2,7.2,859.2,-1.5,1797,146.5,12.3
Adur,45UB,2005,59.6,21,0,19.8,0.8,101.3,65.7,74.2,1.9,141.8,72.1,0,35.7,0.1,10.7,118.5,0.2,361.8,59.8,6
