Total final energy consumption at regional and local authority level: 2003 in GWh (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coal ,,,,Manufactured fuels ,,,,Petroleum products ,,,,,,Natural gas ,,,,Electricity ,,,,Renewables & Waste,,,,Consuming Sector,,
NUTS4 Code,NUTS4 Region,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Road transport,Rail,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Total,,Total,,Industry & Commercial,Domestic,Transport
UKI2203,Kingston upon Thames,0.0,1.8,1.8,,0.0,5.2,5.2,,35.4,11.4,988.8,0.8,"1,036.3",,354.3,"1,237.8","1,592.2",,339.8,294.4,634.2,,3.0,,"3,272.8",,732.6,"1,550.6",989.6
UKI1204,Lambeth,0.0,1.0,1.0,,0.0,2.5,2.5,,18.0,22.5,"1,210.0",1.6,"1,252.1",,"1,141.9","2,109.3","3,251.2",,567.2,471.0,"1,038.2",,0.3,,"5,545.2",,"1,727.3","2,606.3","1,211.6"
UKI1205,Lewisham,0.0,2.3,2.3,,0.0,6.5,6.5,,17.3,23.4,"1,293.6",2.7,"1,336.9",,964.4,"1,684.7","2,649.1",,315.2,442.0,757.2,,56.2,,"4,808.2",,"1,353.1","2,158.8","1,296.3"
UKI2204,Merton,0.0,1.0,1.0,,0.0,2.8,2.8,,71.2,14.3,889.3,0.9,975.7,,657.7,"1,453.6","2,111.3",,339.1,336.1,675.2,,0.3,,"3,766.2",,"1,068.2","1,807.8",890.2
UKI1206,Newham,2.1,2.8,5.0,,0.1,6.8,7.0,,104.4,23.1,"1,485.7",2.4,"1,615.7",,"1,130.3","1,925.1","3,055.3",,772.3,380.0,"1,152.2",,3.1,,"5,838.2",,"2,012.3","2,337.8","1,488.1"
UKI2106,Redbridge,0.0,1.8,1.8,,0.0,4.3,4.3,,45.9,21.5,"1,638.4",0.6,"1,706.4",,455.7,"2,023.4","2,479.2",,266.1,430.9,697.1,,2.4,,"4,891.2",,770.2,"2,482.0","1,639.0"
UKI2307,Richmond upon Thames,0.8,1.8,2.6,,0.0,4.1,4.1,,45.7,12.3,"1,125.4",0.3,"1,183.6",,835.6,"1,877.7","2,713.4",,379.5,363.0,742.4,,0.8,,"4,646.8",,"1,262.3","2,258.9","1,125.6"
UKI1207,Southwark,0.2,1.8,2.1,,0.0,4.1,4.1,,111.9,20.8,"1,261.1",1.2,"1,395.0",,"1,398.3","1,636.4","3,034.7",,"1,210.3",456.8,"1,667.1",,7.9,,"6,110.8",,"2,728.6","2,119.9","1,262.3"
UKI2205,Sutton,0.0,1.0,1.0,,0.0,2.5,2.5,,29.6,12.2,942.9,0.0,984.6,,534.1,"1,579.8","2,113.9",,275.5,363.2,638.7,,3.2,,"3,744.0",,842.4,"1,958.7",942.9
UKI1208,Tower Hamlets,0.0,1.0,1.0,,0.0,2.5,2.5,,49.9,14.5,"1,218.4",0.2,"1,283.1",,"1,648.0","1,245.5","2,893.6",,"2,311.6",349.3,"2,660.8",,4.3,,"6,845.3",,"4,013.9","1,612.8","1,218.6"
